
Host: MacBook-Pro-77.local

Timers On : Sun Dec 14 07:46:17 2025
Timers Off: Sun Dec 14 07:46:19 2025

Wall Time:        2.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.014w      1 calls
SAD Guess                           :      0.017u      0.000s      0.014w      1 calls
HF: Form G                          :      0.000u      0.000s      0.006w     12 calls
JK: D                               :      0.000u      0.000s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.000u      0.000s      0.006w     12 calls
PK computes JK                      :      0.000u      0.000s      0.006w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.217u      0.083s      1.250w     11 calls
HF: Form C                          :      0.000u      0.000s      0.003w     11 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.014w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.014w      1 calls
HF: Form G                          :      0.000u      0.000s      0.006w     12 calls
| JK: D                             :      0.000u      0.000s      0.000w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      0.000u      0.000s      0.006w     12 calls
| | PK computes JK                  :      0.000u      0.000s      0.006w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.217u      0.083s      1.250w     11 calls
HF: Form C                          :      0.000u      0.000s      0.003w     11 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.002w      1 calls

**************************************************************************************

Host: MacBook-Pro-77.local

Timers On : Sun Dec 14 07:49:01 2025
Timers Off: Sun Dec 14 07:49:03 2025

Wall Time:        1.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.183u      0.017s      0.124w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.033s      0.024w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.000s      0.018w      1 calls
SAD Guess                           :      0.017u      0.000s      0.017w      1 calls
HF: Form G                          :      0.100u      0.000s      0.036w     13 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.100u      0.000s      0.036w     13 calls
PK computes JK                      :      0.100u      0.000s      0.036w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.150u      0.067s      0.266w     12 calls
HF: Form C                          :      0.000u      0.000s      0.005w     12 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.183u      0.017s      0.124w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.021w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.000s      0.018w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.017w      1 calls
HF: Form G                          :      0.100u      0.000s      0.036w     13 calls
| JK: D                             :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.100u      0.000s      0.036w     13 calls
| | PK computes JK                  :      0.100u      0.000s      0.036w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.150u      0.067s      0.266w     12 calls
HF: Form C                          :      0.000u      0.000s      0.005w     12 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.003w      1 calls

**************************************************************************************

Host: MacBook-Pro-77.local

Timers On : Sun Dec 14 07:49:44 2025
Timers Off: Sun Dec 14 07:49:46 2025

Wall Time:        1.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.167u      0.017s      0.124w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.021w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.000s      0.017w      1 calls
SAD Guess                           :      0.017u      0.000s      0.016w      1 calls
HF: Form G                          :      0.050u      0.000s      0.037w     13 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.050u      0.000s      0.036w     13 calls
PK computes JK                      :      0.050u      0.000s      0.036w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.167u      0.067s      0.265w     12 calls
HF: Form C                          :      0.017u      0.000s      0.005w     12 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.167u      0.017s      0.124w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.018w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.000s      0.017w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.016w      1 calls
HF: Form G                          :      0.050u      0.000s      0.037w     13 calls
| JK: D                             :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.050u      0.000s      0.036w     13 calls
| | PK computes JK                  :      0.050u      0.000s      0.036w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.167u      0.067s      0.265w     12 calls
HF: Form C                          :      0.017u      0.000s      0.005w     12 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      1 calls

**************************************************************************************

Host: MacBook-Pro-77.local

Timers On : Sun Dec 14 07:50:19 2025
Timers Off: Sun Dec 14 07:50:21 2025

Wall Time:        1.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.183u      0.017s      0.126w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.023w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.000s      0.021w      1 calls
SAD Guess                           :      0.017u      0.000s      0.020w      1 calls
HF: Form G                          :      0.100u      0.000s      0.037w     13 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.100u      0.000s      0.036w     13 calls
PK computes JK                      :      0.100u      0.000s      0.036w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
