# SRG-qsGF2 ionization potentials (IP) and electron affinities (EA) of the GW50 benchmark set in eV for the SRG-qsGF2 flavors
# ccsd(t) and SRG-qsGW results are taken from 10.1021/acs.jctc.3c00281
# Figure 1 can be plotted with this data using fig1.py
# use "comment='#'" when reading with pandas to ignore these lines
,SRG-qsGF2,SRG-qsGF2,SRG-SOS-qsGF2,SRG-SOS-qsGF2,SRG-SCS-qsGF2,SRG-SCS-qsGF2,ccsd(t),ccsd(t),SRG-qsGW,SRG-qsGW
system,IP,EA,IP,EA,IP,EA,IP,EA,IP,EA
Ar,15.722491,-3.374371,15.632282,-3.428102,15.669631,-3.393690,15.60,-2.55,15.63,-2.65
B2H6,12.664005,-0.684898,12.627732,-0.710455,12.640605,-0.692761,12.27,-0.52,12.64,-0.55
BF,11.109364,-0.951336,11.108062,-1.006123,11.117457,-0.971357,11.15,-0.80,11.18,-0.86
BH3,13.641104,-0.313836,13.550080,-0.523304,13.603600,-0.388048,13.31,-0.09,13.59,-0.30
BN,12.312170,3.185540,12.071300,2.706698,12.241222,3.021098,12.05,3.02,11.90,3.44
BeO,10.568341,1.923964,10.295744,1.770148,10.495340,1.868747,9.95,2.17,10.18,2.13
C2H2,11.707246,-0.767950,11.454281,-0.787827,11.611968,-0.774320,11.45,-0.80,11.43,-0.71
C2H3Cl,10.323997,-0.695382,10.172806,-0.733631,10.250983,-0.707950,10.17,-0.61,10.24,-0.61
C2H3F,10.544992,-0.719144,10.519367,-0.754748,10.514436,-0.731318,10.63,-0.65,10.69,-0.68
C2H4,10.774714,-0.777712,10.568243,-0.811411,10.688349,-0.788668,10.69,-1.9,10.67,-0.74
C2H4O,10.297354,-0.612083,10.365920,-0.657311,10.298320,-0.627347,10.29,-0.54,10.66,-0.57
C2H6O,10.709334,-0.641539,10.804980,-0.701491,10.707287,-0.661948,10.82,-0.58,11.15,-0.62
C3H6,10.926522,-0.763364,10.839698,-0.808838,10.869565,-0.778082,10.83,-0.94,11.03,-0.73
C3H8,12.207005,-0.722807,12.288978,-0.777105,12.198782,-0.740402,12.13,-0.63,12.46,-0.67
C4,11.661275,2.417820,10.881978,-0.681883,10.825544,-0.661149,11.43,2.38,11.25,-0.62
CH2O,10.823511,-0.650107,11.567033,-0.727284,11.536821,-0.691947,10.93,-0.60,11.88,-0.67
CH2O2,11.561169,-0.672637,14.510565,-0.771626,14.522895,-0.745227,11.54,-0.60,14.63,-0.68
CH4,14.556399,-0.732517,11.003819,-0.697335,10.911524,-0.661574,14.39,-0.65,11.39,-0.63
CH4O,10.916970,-0.642574,14.095015,-1.748838,14.096116,-1.709520,11.09,-0.59,14.33,-1.62
CO,14.114713,-1.690536,13.729365,-1.105332,13.818225,-1.008986,13.99,-1.57,14.06,-0.95
CO2,13.907304,-0.953744,11.439296,1.834646,11.597918,2.214858,13.80,-0.88,11.54,2.30
F2,14.962916,0.937084,15.517248,-0.429050,15.089146,0.405690,15.81,0.32,16.22,0.07
H2,16.503774,-1.386026,16.343141,-1.404077,16.453472,-1.392009,16.40,-1.35,16.45,-1.28
H2NNH2,9.484415,-0.660956,9.437163,-0.727265,9.444490,-0.683577,9.49,-0.60,9.73,-0.65
H2O,12.503774,-0.638214,12.484614,-0.712593,12.469629,-0.664878,12.69,-0.61,12.88,-0.66
HCN,14.135459,-0.571980,13.810348,-0.598233,14.013136,-0.581400,13.76,-0.53,13.73,-0.54
HCl,12.875366,-0.632071,12.703962,-0.697812,12.803193,-0.654408,12.67,-0.57,12.72,-0.63
HF,15.542843,-0.685497,15.858243,-0.760795,15.620013,-0.714011,16.15,-0.66,16.34,-0.70
HN3,11.038711,-0.566467,10.771369,-0.642374,10.930300,-0.593771,10.77,-0.51,10.89,-0.56
HOOH,11.203290,-0.706734,11.340767,-0.790539,11.202666,-0.736321,11.51,-0.96,11.86,-0.72
He,24.659413,-2.959601,24.529874,-2.974404,24.601658,-2.965342,24.54,-2.66,24.55,-2.66
KH,6.859514,0.246881,6.736837,0.230423,6.832014,0.241680,6.32,0.30,6.38,0.28
Li2,5.116804,-0.058102,5.205579,-0.056450,5.142352,-0.058891,5.25,0.34,5.37,0.21
LiF,11.425885,0.313833,11.300516,0.299100,11.380579,0.308386,11.47,0.35,11.58,0.33
LiH,8.487631,0.231235,8.365987,0.221238,8.464363,0.228004,8.02,-0.29,8.15,0.27
MgF2,13.790220,0.202368,13.740125,0.090465,13.764332,0.159971,13.93,0.29,14.07,0.21
MgO,8.746858,1.642811,8.623334,1.445158,8.718204,1.586131,7.97,1.54,8.36,1.71
N2,15.495558,-2.145875,15.529073,-2.181559,15.475925,-2.157504,15.54,-2.37,15.91,-2.10
NH3,10.983277,-0.659854,10.831062,-0.718005,10.917687,-0.679694,10.91,-0.61,11.10,-0.66
Na2,4.706884,0.018494,4.777784,0.017401,4.724075,0.016826,4.93,0.36,5.01,0.30
NaCl,9.533352,0.615560,9.320054,0.591135,9.457289,0.606855,9.10,0.67,9.16,0.64
Ne,20.473328,-6.090305,21.224346,-6.345142,20.731854,-6.189923,21.47,-5.09,21.59,-5.19
O3,12.722231,1.715022,12.768245,1.255994,12.707427,1.548566,12.85,1.82,13.27,2.17
OCS,11.429996,-1.042706,11.228620,-1.130324,11.349674,-1.073886,11.23,-1.43,11.32,-0.98
P2,10.655651,0.242603,10.464467,0.044650,10.589985,0.179858,10.72,0.43,10.40,0.47
PH3,10.807873,-0.664014,10.670623,-0.702866,10.761365,-0.676581,10.60,-0.51,10.73,-0.57
PN,12.196743,-0.184545,11.928658,-0.414893,12.112303,-0.267230,11.90,-0.02,12.09,0.00
SH2,10.599660,-0.623132,10.410568,-0.675145,10.530940,-0.640288,10.39,-0.52,10.45,-0.59
SO2,11.000861,2.531592,10.817844,2.102756,10.935229,2.392765,10.48,2.24,10.82,2.68
SiH4,13.287543,-0.757214,13.153975,-0.788925,13.243341,-0.767371,12.79,-0.53,13.11,-0.58
