,geo,homo,lumo,ref_homo,ref_lumo,err_homo,err_lumo
0,Ar,15.722491449983806,-3.374370618049566,15.6,-2.55,0.12249144998380679,-0.8243706180495662
1,B2H6,12.664004897477875,-0.6848982779309963,12.27,-0.52,0.3940048974778758,-0.16489827793099632
2,BF,11.109363544306841,-0.9513357323123577,11.15,-0.8,-0.04063645569315888,-0.15133573231235764
3,BH3,13.64110361738296,-0.31383641818856817,13.31,-0.09,0.33110361738295957,-0.22383641818856817
4,BN,12.312169925027806,3.1855404096642075,12.05,3.02,0.26216992502780556,0.16554040966420747
5,BeO,10.568340554157892,1.9239642266401806,9.95,2.17,0.6183405541578928,-0.2460357733598193
6,C2H2,11.707246287644832,-0.7679503297063547,11.45,-0.8,0.2572462876448327,0.03204967029364536
7,C2H3Cl,10.323997030512489,-0.6953824051127456,10.17,-0.61,0.15399703051248892,-0.08538240511274564
8,C2H3F,10.544991503091621,-0.7191443586572523,10.63,-0.65,-0.08500849690837953,-0.06914435865725232
9,C2H4,10.77471433573785,-0.7777118356434867,10.69,-1.9,0.08471433573784992,1.1222881643565132
10,C2H4O,10.297354441673638,-0.6120826723092351,10.29,-0.54,0.0073544416736393,-0.07208267230923504
11,C2H6O,10.709334330139464,-0.6415392840070214,10.82,-0.58,-0.11066566986053594,-0.061539284007021466
12,C3H6,10.926521783232818,-0.7633640405114793,10.83,-0.94,0.09652178323281824,0.17663595948852062
13,C3H8,12.207004968678895,-0.7228070784382717,12.13,-0.63,0.07700496867889406,-0.09280707843827174
14,C4,11.661274788496423,2.417820191991464,11.43,2.38,0.2312747884964228,0.037820191991464025
15,CH2O,10.823511176846111,-0.6501068557781864,10.93,-0.6,-0.10648882315388875,-0.05010685577818641
16,CH2O2,11.561168828809445,-0.6726374065442026,11.54,-0.6,0.021168828809445372,-0.07263740654420259
17,CH4,14.556398548960551,-0.7325174563813389,14.39,-0.65,0.16639854896055084,-0.0825174563813389
18,CH4O,10.916970277722951,-0.642574044325789,11.09,-0.59,-0.1730297222770485,-0.05257404432578905
19,CO,14.114712861100749,-1.69053570687659,13.99,-1.57,0.12471286110074864,-0.12053570687658999
20,CO2,13.907303862419946,-0.9537443587548584,13.8,-0.88,0.10730386241994516,-0.07374435875485841
21,F2,14.962915627302067,0.9370841175351149,15.81,0.32,-0.8470843726979336,0.6170841175351149
22,H2,16.50377354346037,-1.3860257393100077,16.4,-1.35,0.10377354346037038,-0.03602573931000763
23,H2NNH2,9.484415209256134,-0.6609564662097264,9.49,-0.6,-0.005584790743865753,-0.06095646620972639
24,H2O,12.503773646197404,-0.6382143521079914,12.69,-0.61,-0.18622635380259567,-0.02821435210799139
25,HCN,14.13545946102974,-0.5719804238219579,13.76,-0.53,0.3754594610297399,-0.04198042382195788
26,HCl,12.875365614935047,-0.6320712096490276,12.67,-0.57,0.20536561493504735,-0.06207120964902768
27,HF,15.54284317980734,-0.6854967610777444,16.15,-0.66,-0.6071568201926585,-0.025496761077744345
28,HN3,11.03871136006181,-0.5664667386179757,10.77,-0.51,0.2687113600618112,-0.05646673861797569
29,HOOH,11.203290006168407,-0.7067340174312428,11.51,-0.96,-0.3067099938315927,0.2532659825687572
30,He,24.659413289942123,-2.959600620606983,24.54,-2.66,0.11941328994212341,-0.299600620606983
31,KH,6.859513948365865,0.24688094954512663,6.32,0.3,0.5395139483658644,-0.05311905045487336
32,Li2,5.1168040380844255,-0.05810198003841144,5.25,0.34,-0.13319596191557448,-0.39810198003841146
33,LiF,11.42588512833332,0.3138332208555987,11.47,0.35,-0.0441148716666806,-0.03616677914440125
34,LiH,8.487631106707433,0.23123463966456112,8.02,-0.29,0.467631106707433,0.5212346396645611
35,MgF2,13.790220419043814,0.20236773820756782,13.93,0.29,-0.13977958095618526,-0.08763226179243216
36,MgO,8.746857884389604,1.6428111436069934,7.97,1.54,0.7768578843896039,0.1028111436069934
37,N2,15.495558151588888,-2.14587476590654,15.54,-2.37,-0.044441848411111096,0.22412523409346008
38,NH3,10.983276995120463,-0.6598537956668329,10.91,-0.61,0.07327699512046237,-0.0498537956668329
39,Na2,4.706883576073909,0.01849376796283043,4.93,0.36,-0.22311642392609077,-0.34150623203716957
40,NaCl,9.533352421585342,0.6155595360494622,9.1,0.67,0.43335242158534193,-0.05444046395053781
41,Ne,20.473327929521805,-6.09030489067004,21.47,-5.09,-0.9966720704781942,-1.0003048906700398
42,O3,12.722230660651551,1.71502214701244,12.85,1.82,-0.1277693393484487,-0.10497785298756002
43,OCS,11.429996170633366,-1.042706048376525,11.23,-1.43,0.19999617063336572,0.387293951623475
44,P2,10.655651101164493,0.24260285514048618,10.72,0.43,-0.0643488988355081,-0.1873971448595138
45,PH3,10.80787335412081,-0.6640143697032942,10.6,-0.51,0.2078733541208102,-0.15401436970329418
46,PN,12.196742849889699,-0.18454499607636646,11.9,-0.02,0.29674284988969823,-0.16454499607636647
47,SH2,10.59965977450964,-0.6231320665523261,10.39,-0.52,0.2096597745096389,-0.1031320665523261
48,SO2,11.000860838228348,2.531592168293701,10.48,2.24,0.5208608382283479,0.2915921682937008
49,SiH4,13.28754326274258,-0.757214497927393,12.79,-0.53,0.49754326274258,-0.227214497927393
