,geo,homo,lumo,ref_homo,ref_lumo,err_homo,err_lumo
49,Ar,15.632281817941346,-3.4281024972395118,15.6,-2.55,0.0322818179413459,-0.8781024972395115
12,B2H6,12.627731540220989,-0.710454531557154,12.27,-0.52,0.3577315402209873,-0.1904545315571539
42,BF,11.108061561591526,-1.0061226710456703,11.15,-0.8,-0.041938438408474,-0.2061226710456702
43,BH3,13.550079644499071,-0.5233035365156611,13.31,-0.09,0.2400796444990707,-0.4333035365156611
46,BN,12.071300205434706,2.7066984820898763,12.05,3.02,0.0213002054347057,-0.3133015179101237
45,BeO,10.29574359970688,1.7701481137213602,9.95,2.17,0.345743599706882,-0.3998518862786397
29,C2H2,11.454281239061448,-0.7878270585308706,11.45,-0.8,0.0042812390614486,0.0121729414691293
10,C2H3Cl,10.172805874094353,-0.7336307057235666,10.17,-0.61,0.0028058740943528,-0.1236307057235666
11,C2H3F,10.519367182239062,-0.7547481203752151,10.63,-0.65,-0.1106328177609388,-0.104748120375215
21,C2H4,10.568242921506169,-0.8114109608446607,10.69,-1.9,-0.1217570784938324,1.0885890391553392
9,C2H4O,10.365919540032015,-0.6573109163482044,10.29,-0.54,0.0759195400320162,-0.1173109163482043
7,C2H6O,10.804979922460396,-0.7014914548505471,10.82,-0.58,-0.0150200775396029,-0.1214914548505471
8,C3H6,10.839697591334852,-0.808837652551676,10.83,-0.94,0.0096975913348522,0.131162347448324
6,C3H8,12.28897786620456,-0.7771047854652541,12.13,-0.63,0.1589778662045589,-0.147104785465254
30,CH2O,10.881977709858395,-0.6818826756861813,10.93,-0.6,-0.0480222901416027,-0.0818826756861813
14,CH2O2,11.567032808751286,-0.7272839498386333,11.54,-0.6,0.0270328087512865,-0.1272839498386333
35,CH4,14.510565149843414,-0.7716262093815278,14.39,-0.65,0.1205651498434132,-0.1216262093815278
18,CH4O,11.003818932712212,-0.6973350683372936,11.09,-0.59,-0.0861810672877876,-0.1073350683372936
41,CO,14.095015010820507,-1.7488382300790597,13.99,-1.57,0.1050150108205087,-0.1788382300790594
25,CO2,13.729365212678376,-1.105331675933269,13.8,-0.88,-0.0706347873216248,-0.2253316759332689
15,C4,11.43929631081303,1.8346462961261811,11.43,2.38,0.0092963108130295,-0.5453537038738185
39,F2,15.517248407676778,-0.4290504234674649,15.81,0.32,-0.2927515923232224,-0.7490504234674649
4,H2,16.343140701247794,-1.4040772924705691,16.4,-1.35,-0.0568592987522045,-0.054077292470569
19,H2NNH2,9.437163327450794,-0.7272649937021369,9.49,-0.6,-0.0528366725492066,-0.1272649937021369
44,H2O,12.484613554347233,-0.7125930725454179,12.69,-0.61,-0.2053864456527669,-0.1025930725454179
36,HCN,13.810348205511598,-0.5982326923343735,13.76,-0.53,0.0503482055115984,-0.0682326923343734
48,HCl,12.703962444609942,-0.6978120674178234,12.67,-0.57,0.0339624446099424,-0.1278120674178234
1,HF,15.858243069500874,-0.7607945237765544,16.15,-0.66,-0.2917569304991243,-0.1007945237765544
20,HN3,10.77136917234373,-0.642373689732728,10.77,-0.51,0.0013691723437307,-0.132373689732728
26,HOOH,11.340767074294163,-0.7905386246236166,11.51,-0.96,-0.1692329257058364,0.1694613753763834
5,He,24.5298736276945,-2.9744037756506243,24.54,-2.66,-0.0101263723054998,-0.3144037756506241
22,KH,6.7368367448284365,0.2304229099491779,6.32,0.3,0.4168367448284362,-0.069577090050822
0,Li2,5.205579039710946,-0.0564500186944596,5.25,0.34,-0.0444209602890541,-0.3964500186944596
47,LiF,11.300515508160665,0.2990996497013821,11.47,0.35,-0.1694844918393379,-0.0509003502986178
2,LiH,8.365987160003009,0.2212384919998737,8.02,-0.29,0.3459871600030091,0.5112384919998737
16,MgF2,13.740125186115158,0.0904648382131718,13.93,0.29,-0.1898748138848418,-0.1995351617868281
33,MgO,8.623333686748676,1.4451578129806495,7.97,1.54,0.6533336867486765,-0.0948421870193505
40,N2,15.529073136869451,-2.181558630526147,15.54,-2.37,-0.0109268631305479,0.1884413694738529
38,NH3,10.831062069379492,-0.7180050788617578,10.91,-0.61,-0.0789379306205084,-0.1080050788617578
27,Na2,4.777784368857319,0.0174005646678537,4.93,0.36,-0.1522156311426803,-0.3425994353321462
28,NaCl,9.32005406089841,0.5911348174931379,9.1,0.67,0.2200540608984109,-0.0788651825068621
3,Ne,21.22434624545659,-6.345142437146656,21.47,-5.09,-0.2456537545434081,-1.255142437146656
23,O3,12.768245105609552,1.255994496816833,12.85,1.82,-0.081754894390448,-0.564005503183167
17,OCS,11.228620492746735,-1.1303238722679594,11.23,-1.43,-0.0013795072532634,0.2996761277320405
31,P2,10.46446738975881,0.0446497987341534,10.72,0.43,-0.2555326102411914,-0.3853502012658465
32,PH3,10.670623126402038,-0.7028662327751088,10.6,-0.51,0.0706231264020385,-0.1928662327751088
34,PN,11.928658229985816,-0.4148933618831044,11.9,-0.02,0.0286582299858171,-0.3948933618831043
37,SH2,10.410567796501564,-0.6751451490665552,10.39,-0.52,0.0205677965015631,-0.1551451490665552
13,SO2,10.817844013719007,2.1027555282183803,10.48,2.24,0.3378440137190086,-0.1372444717816199
24,SiH4,13.153975182990091,-0.7889249041435986,12.79,-0.53,0.3639751829900941,-0.2589249041435986
