# SRG-qsGF2 ionization potentials (IP) and electron affinities (EA) of the GW50 benchmark set in eV for different values of the flow parameter s
# ccsd(t) results are taken from 10.1021/acs.jctc.3c00281
# use "comment='#'" when reading with pandas to ignore these lines
,1,10,100,1000,ccsd(t),1,10,100,1000,ccsd(t)
IP,IP,IP,IP,IP,IP,EA,EA,EA,EA,EA,EA
Li2,5.180645,5.258434,5.193412,5.194642,5.25,-0.037839,0.180736,0.293058,0.294559,0.34
HF,14.872560,14.031438,14.029120,14.020622,16.15,-0.668240,-0.651829,-0.651827,-0.651695,-0.66
LiH,8.419082,8.003877,7.947290,7.946989,8.02,0.239430,0.271456,0.273465,0.273454,-0.29
Ne,20.034620,19.725056,19.732811,19.740040,21.47,-6.078269,-6.062425,-6.063052,-6.063162,-5.09
H2,16.392344,16.276579,16.276528,16.276330,16.40,-1.376960,-1.367823,-1.367810,-1.367849,-1.35
He,24.548626,24.505004,24.504877,24.504784,24.54,-2.960589,-2.960337,-2.960211,-2.960212,-2.66
C3H8,11.672470,10.804199,10.792104,10.790970,12.13,-0.669191,-0.587984,-0.586826,-0.586636,-0.63
C2H6O,9.981897,8.461518,8.415974,8.412495,10.82,-0.591850,-0.510199,-0.508175,-0.507914,-0.58
C3H6,10.476205,9.633922,9.613647,9.611465,10.83,-0.714532,-0.628732,-0.626666,-0.626395,-0.94
C2H4O,9.616834,7.856895,7.743496,7.742931,10.29,-0.578878,-0.522160,-0.520299,-0.520029,-0.54
C2H3Cl,10.039003,9.413142,9.387600,9.387114,10.17,-0.648978,-0.544411,-0.539213,-0.538857,-0.61
C2H3F,10.245154,9.598878,9.571071,9.571520,10.63,-0.686493,-0.622697,-0.620494,-0.620210,-0.65
B2H6,12.328738,11.821234,11.818700,11.818599,12.27,-0.649294,-0.596626,-0.596088,-0.596030,-0.52
SO2,9.971235,5.106404,,,10.48,2.346846,1.278730,,,2.24
CH2O2,10.858725,9.117107,9.022797,,11.54,-0.633318,-0.552771,-0.548615,,-0.60
C4,11.098841,9.845101,9.759543,,11.43,2.815248,3.576406,3.642595,,2.38
MgF2,13.002737,10.743101,10.656853,10.649080,13.93,0.259250,0.372758,0.376617,0.377017,0.29
OCS,11.175107,10.341596,10.276392,,11.23,-0.936623,-0.687465,-0.670251,,-1.43
CH4O,10.214976,8.947305,8.921502,8.918976,11.09,-0.603802,-0.550321,-0.549311,-0.549141,-0.59
H2NNH2,8.934272,7.943408,7.913630,7.912973,9.49,-0.611113,-0.532586,-0.530169,-0.529951,-0.60
HN3,10.713201,9.837407,9.787668,,10.77,-0.491721,-0.307897,-0.299673,,-0.51
C2H4,10.579439,10.162052,10.152381,,10.69,-0.742274,-0.676900,-0.674964,,-1.90
KH,6.793042,6.274517,,,6.32,0.257443,0.282093,,,0.30
O3,11.685683,,,,12.85,1.383617,,,,1.82
SiH4,13.041637,12.619017,12.616744,12.616097,12.79,-0.717035,-0.649545,-0.648953,-0.648924,-0.53
CO2,13.287112,12.160523,,,13.80,-0.874351,-0.763999,,,-0.88
HOOH,10.372546,8.839017,8.777874,8.768919,11.51,-0.658040,-0.576936,-0.573748,-0.573230,-0.96
Na2,4.769862,4.893102,4.856862,4.858075,4.93,0.039849,0.242322,0.357986,0.360550,0.36
NaCl,9.288009,8.465980,8.392947,8.391290,9.10,0.632169,0.673030,0.675196,0.675454,0.67
C2H2,11.523442,11.101421,11.098497,,11.45,-0.740320,-0.685196,-0.684558,,-0.80
CH2O,10.193534,8.761395,8.722284,8.729046,10.93,-0.631653,-0.598237,-0.596691,-0.597368,-0.60
P2,10.662851,9.950322,9.855458,,10.72,0.388682,0.693805,0.733679,,0.43
PH3,10.629407,10.257373,10.249032,,10.60,-0.612074,-0.517761,-0.516016,,-0.51
MgO,8.362672,5.043750,,,7.97,1.605749,1.911283,,,1.54
PN,11.480775,8.484986,8.204412,8.191791,11.90,-0.086739,0.248029,0.288680,0.293115,-0.02
CH4,14.206444,13.737379,13.735215,,14.39,-0.700888,-0.666041,-0.665768,,-0.65)
HCN,13.377836,11.632092,11.586100,11.570770,13.76,-0.554135,-0.518401,-0.518085,-0.518097,-0.53
SH2,10.397531,10.012598,10.000645,9.997694,10.39,-0.565471,-0.477379,-0.475653,-0.475044,-0.52
NH3,10.489678,9.672834,9.659953,9.664191,10.91,-0.622568,-0.576317,-0.575700,-0.575680,-0.61
F2,13.947019,12.493499,12.482806,,15.81,1.260781,1.795788,1.781786,,0.32
N2,14.790353,13.976760,13.961598,,15.54,-2.112413,-2.070820,-2.070590,,-2.37
CO,13.625660,12.989001,12.968180,,13.99,-1.643115,-1.566907,-1.564799,,-1.57
BF,10.975203,10.671293,10.665723,10.659229,11.15,-0.903818,-0.797848,-0.796967,-0.797124,-0.80
BH3,13.414083,13.123641,13.123154,13.123281,13.31,-0.150297,0.040770,0.043136,0.044778,-0.09
H2O,11.870886,10.876363,10.862480,10.856791,12.69,-0.605280,-0.567687,-0.567252,-0.567000,-0.61
BeO,10.317091,7.257979,7.608041,,9.95,1.885230,1.647458,1.798989,,2.17
BN,12.168707,11.015176,10.931821,10.927815,12.05,2.992237,2.780912,2.774297,2.773629,3.02
LiF,10.689710,8.135966,7.859198,,11.47,0.320117,0.340743,0.342439,,0.35
HCl,12.621961,12.229147,12.218921,12.218511,12.67,-0.580930,-0.521294,-0.520578,-0.520284,-0.57
Ar,15.473123,15.194244,15.191991,15.192432,15.60,-3.331825,-3.263950,-3.263315,-3.263165,-2.55
