system,SRG-qsGF2,SRG-SCS-qsGF2,SRG-SOS-qsGF2,OO-MP2,exp.(ref.),LR-CCSD(ref.),MP2,MP2(ref.) 
Acetaldehyde,2.685857,2.687898,2.717367,2.580014,2.750,2.834,2.626410,2.625
Acetic Acid,1.596057,1.596971,1.608071,1.540959,1.700,1.709,1.549817,1.550
Acetone,2.846928,2.842837,2.862157,2.748853,2.880,3.014,2.781714,2.782
Acetonitrile,3.943462,3.910064,3.876375,3.799404,3.920,3.948,3.826360,3.826
C3H8,0.074335,0.075275,0.075790,0.080808,0.084,0.085,0.080628,0.081
CH3F,1.767090,1.784993,1.832131,1.782946,1.858,1.889,1.808360,1.805
Chlorobenzene,1.679707,1.681384,1.704685,1.643220,1.690,1.718,1.676997,1.680
CO,0.247243,0.222599,0.153377,0.313437,0.110,0.106,0.294051,0.294
Cytosine,6.343220,6.356112,6.411956,6.211908,7.000,6.501,6.310551,6.171
Dimethylamine,1.026165,1.025169,1.035085,0.989433,1.010,1.084,1.010635,1.010
Dimethyl Ether,1.275739,1.280377,1.310948,1.242056,1.300,1.356,1.279349,1.277
Dimethyl Sulfide,1.565763,1.565369,1.570427,1.552153,1.554,1.608,1.566629,1.566
Dimethyl Sulfone,4.374921,4.398163,4.498833,4.286195,4.432,4.716,4.429410,4.429
Ethanol,1.638587,1.637865,1.657696,1.613290,1.690,1.609,1.639991,1.560
Fluorobenzene,1.340330,1.376275,1.463511,1.375930,1.600,1.576,1.428407,1.427
Furan,0.508438,0.518788,0.565495,0.516658,0.660,0.651,0.552150,0.554
H2O,1.941617,1.939939,1.946961,1.924779,1.855,1.856,1.935659,1.936
H2S,1.123375,1.109615,1.088181,1.110443,0.978,0.992,1.121113,1.121
Imidazole,3.812676,3.809600,3.810577,3.746241,3.800,3.784,3.809898,3.810
Isobutene,0.524747,0.510069,0.482958,0.505985,0.503,0.505,0.473260,0.473
Methanol,1.654563,1.655307,1.672773,1.635261,1.700,1.696,1.654375,1.654
Methyl Acetate,1.735364,1.735569,1.741435,1.695484,1.720,1.802,1.690830,1.691
Methyl Formate,1.848103,1.845724,1.847365,1.824325,1.770,1.821,1.799615,1.742
NH3,1.639955,1.633024,1.629973,1.614489,1.472,1.518,1.621673,1.622
N-Methylacetamide,3.676403,3.682532,3.715972,3.626001,3.710,3.856,3.657583,3.652
NO,0.248825,0.218083,0.148250,0.291621,0.159,0.214,0.196431,0.197
Pentene,0.350807,0.344383,0.332374,0.348290,0.500,0.383,0.323385,0.341
PH3,0.668721,0.661151,0.644433,0.671542,0.574,1.279,0.676454,0.676
Phenol,1.293370,1.290276,1.293664,1.273768,1.224,0.632,1.284455,1.285
Pyrazole,2.322154,2.319750,2.321907,2.267823,2.200,2.305,2.277520,2.277
Pyridine,2.235037,2.225593,2.224533,2.190361,2.215,2.278,2.234276,2.235
Pyrrole,1.976966,1.976228,1.963430,1.959773,1.740,1.859,1.960727,1.960
SO,1.730197,1.712677,1.747049,1.490898,1.550,1.630,1.734958,1.735
SO2,1.749425,1.753701,1.783643,1.472965,1.633,1.780,1.639421,1.638
Thiophene,0.414956,0.441763,0.499008,0.419285,0.550,0.514,0.402873,0.405
Toluene,0.355419,0.345998,0.333299,0.343648,0.375,0.377,0.335369,0.335
Trimethylamine,0.609585,0.612377,0.635611,0.535199,0.612,0.705,0.587650,0.588
