,1,10,100,1000,ccsd(t)
Li2,5.180645064454548,5.258434077990716,5.193411812275585,5.194642269791292,5.25
HF,14.87256008776253,14.031437660819481,14.029119574109519,14.020621542324792,16.15
LiH,8.41908210673638,8.003876516058526,7.947290253799404,7.946988980987264,8.02
Ne,20.03461971824385,19.72505601252608,19.732811157353048,19.740039744466763,21.47
H2,16.39234423758576,16.276579298577207,16.276528312279517,16.276330092181585,16.4
He,24.548625853215164,24.505004424720397,24.50487715827482,24.504783761201132,24.54
C3H8,11.672470046257885,10.804198926468008,10.79210417407602,10.7909700620749,12.13
C2H6O,9.981897078259252,8.461518431102334,8.415974366758752,8.412495393915908,10.82
C3H6,10.476205150194039,9.633922346792286,9.613647189245304,9.61146527518,10.83
C2H4O,9.616833718269207,7.856894701417993,7.743496028640283,7.742931185807775,10.29
C2H3Cl,10.039002562749596,9.413142070644595,9.387599654558398,9.387114314719703,10.17
C2H3F,10.24515368722427,9.59887775577572,9.571071040577513,9.571519936713715,10.63
B2H6,12.328737967803422,11.82123439014952,11.818700454460146,11.81859928549611,12.27
SO2,9.971235103096987,5.106403839020846,,,10.48
CH2O2,10.858725302743617,9.117106530365445,9.022797243205416,,11.54
C4,11.098841287168737,9.84510110854716,9.759543350834583,,11.43
MgF2,13.002737417182244,10.743100790232372,10.656852830722874,10.649079774637924,13.93
OCS,11.17510722595175,10.341596192504882,10.27639249943963,,11.23
CH4O,10.214976161961243,8.94730499959128,8.9215018679373,8.91897559648081,11.09
H2NNH2,8.934272390708266,7.943407807182213,7.913630150061373,7.912973197225982,9.49
HN3,10.713200572570466,9.837406758332222,9.787668019464883,,10.77
C2H4,10.579439154598793,10.162052236213157,10.15238085647691,,10.69
KH,6.793041801033198,6.274516757514732,,,6.32
O3,11.685682835218582,,,,12.85
SiH4,13.041636797018327,12.619016675372437,12.61674382642058,12.616096745685423,12.79
CO2,13.287112427741882,12.160523250079176,,,13.8
HOOH,10.372546021713795,8.839016658539954,8.777873543390786,8.768919301470698,11.51
Na2,4.769862193878469,4.893101988610357,4.856861813758518,4.858075051082979,4.93
NaCl,9.288009337564324,8.46597955057448,8.392946649626513,8.391289669034506,9.1
C2H2,11.523441921530841,11.101421364204711,11.098497165932198,,11.45
CH2O,10.193533699874765,8.761395129072831,8.722283848926656,8.72904641979711,10.93
P2,10.662850680498165,9.95032204160363,9.855457955761914,,10.72
PH3,10.629407424218877,10.257373152314821,10.249032328194675,,10.6
MgO,8.36267225046503,5.043749909877911,,,7.97
PN,11.48077462735249,8.484986218084506,8.204411767055928,8.191790655025082,11.9
CH4,14.206444298362507,13.737378608241912,13.735214942352652,,14.39
HCN,13.377836438989936,11.632091506277325,11.586099558162791,11.570769890700547,13.76
SH2,10.397530636164682,10.012598217127854,10.00064462681199,9.997694166952634,10.39
NH3,10.489677657717607,9.67283382720864,9.65995318306156,9.664191208161169,10.91
F2,13.94701854041965,12.49349907867328,12.482806078181557,,15.81
N2,14.790353373907642,13.976760474473565,13.961598348120187,,15.54
CO,13.625660330786996,12.989000647309155,12.968179882453532,,13.99
BF,10.975203060964954,10.671293062089571,10.66572299306771,10.659228682935344,11.15
BH3,13.414083000340964,13.123641429251158,13.123153883922264,13.12328144420139,13.31
H2O,11.870885790406696,10.876363431082265,10.862479628411368,10.856790867587769,12.69
BeO,10.317090714449414,7.257978676287207,7.608040919579571,,9.95
BN,12.16870744650491,11.015175670200012,10.931820640367595,10.927815296283601,12.05
LiF,10.689709525163314,8.135965502448586,7.859198110326837,,11.47
HCl,12.62196129055055,12.229146832299525,12.218921433587225,12.218511227024921,12.67
Ar,15.473122787921323,15.194243619165185,15.191990517680109,15.192432303939457,15.6
