ccsd,,hf_gw,,lda_gw,,lda_gw_c,
X,Y,X,Y,X,Y,X,Y
-21.807072560467056,0.0032727272727272605,-24.853077564637196,0.0018181818181818021,-24.94485404503753,0.0014545454545454306,-24.48620517097581,0.0007272727272727153
-21.329941618015013,0.003999999999999976,-24.577848206839032,0.0018181818181818021,-24.687973311092577,0.0014545454545454306,-24.11923269391159,0.0007272727272727153
-20.779382819015844,0.005090909090909063,-24.082402001668058,0.0021818181818181737,-24.357698081734778,0.0014545454545454306,-23.642135112593827,0.001090909090909059
-20.283836530442038,0.006545454545454549,-23.58695579649708,0.002545454545454545,-23.898982485404503,0.0014545454545454306,-23.201768140116762,0.001090909090909059
-19.80650542118432,0.009454545454545438,-23.091509591326105,0.002909090909090889,-23.66045037531276,0.0014545454545454306,-22.90815679733111,0.0014545454545454306
-19.402402001668058,0.014181818181818157,-22.779549624687238,0.0032727272727272605,-23.348523769808175,0.0014545454545454306,-22.651276063386156,0.0014545454545454306
-19.08994161801501,0.01999999999999999,-22.467522935779815,0.004363636363636347,-22.853077564637196,0.0018181818181818021,-22.357698081734778,0.0014545454545454306
-18.8692577147623,0.025454545454545452,-22.13718098415346,0.005090909090909063,-22.651242702251874,0.0018181818181818021,-22.137481234361967,0.0018181818181818021
-18.648540450375314,0.03127272727272726,-21.861851542952458,0.006181818181818177,-22.394328607172643,0.0021818181818181737,-21.862218515429525,0.0021818181818181737
-18.48303586321935,0.03527272727272726,-21.604804003336113,0.00799999999999998,-22.1557964970809,0.0021818181818181737,-21.56864053377815,0.0021818181818181737
-18.336113427856546,0.03672727272727269,-21.366105087572976,0.009818181818181781,-21.898915763135946,0.0021818181818181737,-21.27502919099249,0.002545454545454545
-18.15279399499583,0.03490909090909089,-21.145688073394496,0.012363636363636354,-21.697047539616346,0.002545454545454545,-20.81628023352794,0.002909090909090889
-17.951359466221852,0.030545454545454515,-20.943586321934944,0.015272727272727271,-21.330041701417848,0.002909090909090889,-20.467623019182653,0.0032727272727272605
-17.731643035863218,0.025454545454545452,-20.70465387823186,0.01963636363636362,-21.073160967472894,0.002909090909090889,-20.118965804837366,0.0036363636363636043
-17.49347789824854,0.02145454545454545,-20.483969974979146,0.02509090909090908,-20.83462885738115,0.002909090909090889,-19.788657214345285,0.003999999999999976
-17.2185154295246,0.01854545454545453,-20.318465387823185,0.029090909090909084,-20.577714762301916,0.0032727272727272605,-19.476630525437862,0.005090909090909063
-16.90668890742285,0.017454545454545445,-20.17144286905755,0.03163636363636363,-20.137314428690573,0.0036363636363636043,-19.054578815679733,0.005454545454545434
-16.59466221851543,0.01854545454545453,-20.00620517097581,0.03272727272727269,-19.82535446205171,0.003999999999999976,-18.76096747289408,0.005818181818181778
-16.319266055045873,0.020363636363636334,-19.822885738115097,0.030909090909090886,-19.531743119266054,0.004363636363636347,-18.467289407839864,0.0069090909090908925
-16.062185154295246,0.022545454545454507,-19.63973311092577,0.027272727272727254,-19.25648040033361,0.004727272727272719,-18.136947456213512,0.007636363636363608
-15.841901584653879,0.023636363636363622,-19.47492910758966,0.023636363636363622,-19.017881567973312,0.005454545454545434,-17.71479566305254,0.009090909090909066
-15.529908256880733,0.024363636363636337,-19.291776480400333,0.01999999999999999,-18.779382819015844,0.005090909090909063,-17.439432860717265,0.010545454545454525
-15.217914929107588,0.02509090909090908,-19.09024186822352,0.01672727272727273,-18.5041201000834,0.005454545454545434,-17.164036697247703,0.012363636363636354
-14.850942452043368,0.02509090909090908,-18.79693077564637,0.013818181818181785,-18.26555462885738,0.005818181818181778,-16.94375312760634,0.013454545454545441
-14.410575479566303,0.02509090909090908,-18.52180150125104,0.012727272727272726,-17.990225187656378,0.0069090909090908925,-16.723436196830693,0.0149090909090909
-14.080166805671393,0.02654545454545451,-18.283336113427858,0.011999999999999983,-17.733311092577146,0.007272727272727264,-16.44807339449541,0.01636363636363633
-13.749691409507923,0.028727272727272685,-18.04487072560467,0.011272727272727268,-17.43959966638866,0.008727272727272722,-16.17271059216013,0.01781818181818179
